barcode,description,price,department,size
012345678905,Coca-Cola Classic,1.99,Beverages,12 oz
049000050159,Sprite Zero Sugar,1.99,Beverages,12 oz
012000001765,Pepsi Cola,1.79,Beverages,16.9 oz
038000845031,Kellogg's Corn Flakes,4.49,Breakfast,18 oz
016000119406,General Mills Cheerios,4.99,Breakfast,8.9 oz
030000056104,Post Raisin Bran,4.29,Breakfast,20 oz
040000490029,Snickers Bar,1.39,Candy,1.86 oz
040000507536,Twix Caramel,1.49,Candy,1.79 oz
028400064057,Doritos Nacho Cheese,4.29,Snacks,9.25 oz
028400315272,Lay's Classic Potato Chips,4.49,Snacks,8 oz
